para,word
1,spotify
1,copyright
1,policy
2,last
2,updated
2,17
2,october
2,2012
3,hello
3,and
3,thank
3,you
3,for
3,visiting
3,spotify's
3,copyright
3,policy
3,page
3,spotify
3,respects
3,intellectual
3,property
3,rights
3,and
3,expects
3,its
3,users
3,to
3,do
3,the
3,same
3,if
3,you
3,are
3,a
3,copyright
3,holder
3,and
3,you
3,believe
3,that
3,any
3,of
3,the
3,copyrighted
3,material
3,which
3,is
3,directly
3,available
3,via
3,the
3,spotify
3,service
3,infringes
3,your
3,copyrighted
3,work
3,please
3,let
3,us
3,know
4,please
4,use
4,this
4,web
4,form
4,to
4,submit
4,a
4,notice
4,of
4,alleged
4,copyright
4,infringement
4,alternatively
4,pursuant
4,to
4,the
4,digital
4,millennium
4,copyright
4,act
4,dmca
4,17
4,united
4,states
4,code
4,512
4,c
4,3
4,a
4,notice
4,of
4,alleged
4,copyright
4,infringement
4,should
4,be
4,sent
4,to
4,spotify's
4,designated
4,copyright
4,agent
4,at
4,the
4,following
4,address
5,spotify
5,usa
5,inc
6,attn
6,legal
6,department
6,copyright
6,agent
7,45
7,w
7,18th
7,street
7,7th
7,floor
8,new
8,york
8,ny
8,10011
8,usa
9,infringement
9,claim
9,spotify.com
10,a
10,notification
10,of
10,alleged
10,copyright
10,infringement
10,must
10,be
10,addressed
10,to
10,spotify's
10,copyright
10,agent
10,as
10,listed
10,above
10,and
10,include
10,the
10,following
11,we
11,should
11,also
11,let
11,you
11,know
11,that
11,spotify
11,has
11,a
11,policy
11,to
11,terminate
11,in
11,appropriate
11,circumstances
11,the
11,accounts
11,of
11,subscribers
11,who
11,are
11,repeat
11,infringers
12,copyright
12,2012
12,spotify
12,ab
12,all
12,rights
12,reserved
13,spotify
13,usa
13,inc
13,45
13,w
13,18th
13,street
14,7th
14,floor
15,new
15,york
15,ny
15,10011
16,usa
